Dataset,Panel,Sampling seed,Original features,Alternative features,Accuracy,Macro-F1,Positive F1,Delta Macro-F1 vs original,Feature ids
SMS Spam,1,2026,11,9,0.9760,0.9469,0.9077,+0.0096,original:mentions_prize_reward_gift; original:impersonates_official_entity; original:uses_promotional_or_marketing_claim; original:mentions_discount_or_rate; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:contains_all_caps_or_exclamation_emphasis; original:asks_click_link; original:requests_immediate_action; original:mentions_meeting_family_friends; original:uses_casual_emotional_language; alternative:sms_alt_c04; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c29; alternative:sms_alt_c33; alternative:sms_alt_c35
ADE,29,2028,9,11,0.7720,0.7354,0.6369,-0.0223,original:mentions_medication_or_drug; original:mentions_drug_discontinuation; original:mentions_severity; original:links_event_to_medication; original:mentions_temporal_after_use; original:mentions_onset_or_duration; original:states_alternative_cause; original:reports_no_drug_link; original:discusses_general_pharmacology; alternative:ade_alt_c01; alternative:ade_alt_c02; alternative:ade_alt_c04; alternative:ade_alt_c11; alternative:ade_alt_c17; alternative:ade_alt_c19; alternative:ade_alt_c20; alternative:ade_alt_c29; alternative:ade_alt_c27; alternative:ade_alt_c35; alternative:ade_alt_c36
ADE,30,2028,11,9,0.7860,0.7438,0.6397,-0.0139,original:mentions_dose_or_frequency; original:mentions_drug_interaction; original:links_event_to_medication; original:mentions_temporal_after_use; original:mentions_rechallenge_or_recovery; original:mentions_onset_or_duration; original:contains_negation_no_event; original:contains_uncertainty_or_possible; original:states_alternative_cause; original:mentions_study_or_trial_context; original:mentions_expected_therapeutic_effect; alternative:ade_alt_c02; alternative:ade_alt_c03; alternative:ade_alt_c04; alternative:ade_alt_c10; alternative:ade_alt_c11; alternative:ade_alt_c12; alternative:ade_alt_c20; alternative:ade_alt_c29; alternative:ade_alt_c36
ADE,31,2028,9,11,0.8260,0.7847,0.6904,+0.0270,original:mentions_medication_or_drug; original:mentions_symptom_or_condition; original:mentions_severity; original:mentions_lab_or_diagnostic_abnormality; original:links_event_to_medication; original:mentions_onset_or_duration; original:contains_uncertainty_or_possible; original:states_alternative_cause; original:mentions_expected_therapeutic_effect; alternative:ade_alt_c02; alternative:ade_alt_c03; alternative:ade_alt_c10; alternative:ade_alt_c12; alternative:ade_alt_c17; alternative:ade_alt_c18; alternative:ade_alt_c19; alternative:ade_alt_c27; alternative:ade_alt_c28; alternative:ade_alt_c39; alternative:ade_alt_c36
ADE,32,2028,11,9,0.8120,0.7637,0.6569,+0.0061,original:mentions_drug_discontinuation; original:mentions_drug_interaction; original:mentions_symptom_or_condition; original:mentions_severity; original:mentions_lab_or_diagnostic_abnormality; original:mentions_temporal_after_use; original:mentions_rechallenge_or_recovery; original:contains_negation_no_event; original:contains_uncertainty_or_possible; original:states_alternative_cause; original:mentions_expected_therapeutic_effect; alternative:ade_alt_c04; alternative:ade_alt_c17; alternative:ade_alt_c18; alternative:ade_alt_c20; alternative:ade_alt_c29; alternative:ade_alt_c26; alternative:ade_alt_c27; alternative:ade_alt_c39; alternative:ade_alt_c35
ADE,33,2028,7,13,0.8060,0.7640,0.6644,+0.0063,original:mentions_dose_or_frequency; original:mentions_drug_interaction; original:links_event_to_medication; original:mentions_temporal_after_use; original:mentions_onset_or_duration; original:contains_negation_no_event; original:mentions_expected_therapeutic_effect; alternative:ade_alt_c01; alternative:ade_alt_c03; alternative:ade_alt_c04; alternative:ade_alt_c17; alternative:ade_alt_c18; alternative:ade_alt_c19; alternative:ade_alt_c20; alternative:ade_alt_c29; alternative:ade_alt_c26; alternative:ade_alt_c27; alternative:ade_alt_c28; alternative:ade_alt_c39; alternative:ade_alt_c35
ADE,34,2028,11,9,0.7750,0.7373,0.6377,-0.0204,original:mentions_medication_or_drug; original:mentions_dose_or_frequency; original:mentions_symptom_or_condition; original:mentions_severity; original:mentions_temporal_after_use; original:mentions_rechallenge_or_recovery; original:mentions_onset_or_duration; original:states_alternative_cause; original:reports_no_drug_link; original:mentions_expected_therapeutic_effect; original:discusses_general_pharmacology; alternative:ade_alt_c01; alternative:ade_alt_c02; alternative:ade_alt_c03; alternative:ade_alt_c04; alternative:ade_alt_c11; alternative:ade_alt_c12; alternative:ade_alt_c27; alternative:ade_alt_c28; alternative:ade_alt_c37
ADE,35,2028,16,4,0.7890,0.7514,0.6547,-0.0063,original:mentions_dose_or_frequency; original:mentions_drug_discontinuation; original:mentions_drug_interaction; original:mentions_adverse_reaction; original:mentions_severity; original:links_event_to_medication; original:mentions_temporal_after_use; original:mentions_rechallenge_or_recovery; original:contains_negation_no_event; original:contains_uncertainty_or_possible; original:states_alternative_cause; original:reports_no_drug_link; original:mentions_study_or_trial_context; original:mentions_expected_therapeutic_effect; original:describes_indication_or_background; original:discusses_general_pharmacology; alternative:ade_alt_c01; alternative:ade_alt_c11; alternative:ade_alt_c29; alternative:ade_alt_c36
ADE,36,2028,12,8,0.8080,0.7649,0.6643,+0.0073,original:mentions_medication_or_drug; original:mentions_dose_or_frequency; original:mentions_drug_discontinuation; original:mentions_drug_interaction; original:mentions_symptom_or_condition; original:mentions_severity; original:mentions_lab_or_diagnostic_abnormality; original:mentions_temporal_after_use; original:mentions_onset_or_duration; original:contains_negation_no_event; original:contains_uncertainty_or_possible; original:mentions_study_or_trial_context; alternative:ade_alt_c01; alternative:ade_alt_c09; alternative:ade_alt_c12; alternative:ade_alt_c18; alternative:ade_alt_c27; alternative:ade_alt_c28; alternative:ade_alt_c37; alternative:ade_alt_c36
ADE,37,2028,9,11,0.8060,0.7644,0.6655,+0.0068,original:mentions_dose_or_frequency; original:mentions_drug_discontinuation; original:mentions_drug_interaction; original:mentions_adverse_reaction; original:mentions_temporal_after_use; original:mentions_rechallenge_or_recovery; original:contains_negation_no_event; original:mentions_study_or_trial_context; original:describes_indication_or_background; alternative:ade_alt_c01; alternative:ade_alt_c03; alternative:ade_alt_c04; alternative:ade_alt_c09; alternative:ade_alt_c10; alternative:ade_alt_c12; alternative:ade_alt_c29; alternative:ade_alt_c26; alternative:ade_alt_c28; alternative:ade_alt_c39; alternative:ade_alt_c36
ADE,38,2028,9,11,0.7770,0.7372,0.6350,-0.0204,original:mentions_symptom_or_condition; original:mentions_adverse_reaction; original:mentions_lab_or_diagnostic_abnormality; original:links_event_to_medication; original:mentions_rechallenge_or_recovery; original:mentions_onset_or_duration; original:contains_uncertainty_or_possible; original:states_alternative_cause; original:describes_indication_or_background; alternative:ade_alt_c02; alternative:ade_alt_c03; alternative:ade_alt_c04; alternative:ade_alt_c17; alternative:ade_alt_c20; alternative:ade_alt_c29; alternative:ade_alt_c26; alternative:ade_alt_c27; alternative:ade_alt_c39; alternative:ade_alt_c35; alternative:ade_alt_c36
ADE,39,2028,11,9,0.7950,0.7538,0.6531,-0.0038,original:mentions_dose_or_frequency; original:mentions_symptom_or_condition; original:mentions_lab_or_diagnostic_abnormality; original:links_event_to_medication; original:mentions_rechallenge_or_recovery; original:mentions_onset_or_duration; original:contains_uncertainty_or_possible; original:mentions_study_or_trial_context; original:mentions_expected_therapeutic_effect; original:describes_indication_or_background; original:discusses_general_pharmacology; alternative:ade_alt_c04; alternative:ade_alt_c10; alternative:ade_alt_c17; alternative:ade_alt_c19; alternative:ade_alt_c29; alternative:ade_alt_c28; alternative:ade_alt_c39; alternative:ade_alt_c35; alternative:ade_alt_c36
ADE,40,2028,9,11,0.8100,0.7684,0.6701,+0.0107,original:links_event_to_medication; original:mentions_temporal_after_use; original:mentions_rechallenge_or_recovery; original:mentions_onset_or_duration; original:contains_uncertainty_or_possible; original:reports_no_drug_link; original:mentions_study_or_trial_context; original:mentions_expected_therapeutic_effect; original:discusses_general_pharmacology; alternative:ade_alt_c10; alternative:ade_alt_c11; alternative:ade_alt_c17; alternative:ade_alt_c18; alternative:ade_alt_c20; alternative:ade_alt_c29; alternative:ade_alt_c26; alternative:ade_alt_c37; alternative:ade_alt_c39; alternative:ade_alt_c35; alternative:ade_alt_c36
ADE,41,2028,10,10,0.8140,0.7698,0.6690,+0.0122,original:mentions_dose_or_frequency; original:mentions_drug_interaction; original:mentions_symptom_or_condition; original:mentions_adverse_reaction; original:mentions_lab_or_diagnostic_abnormality; original:links_event_to_medication; original:mentions_onset_or_duration; original:reports_no_drug_link; original:mentions_expected_therapeutic_effect; original:describes_indication_or_background; alternative:ade_alt_c02; alternative:ade_alt_c04; alternative:ade_alt_c09; alternative:ade_alt_c10; alternative:ade_alt_c11; alternative:ade_alt_c18; alternative:ade_alt_c19; alternative:ade_alt_c29; alternative:ade_alt_c26; alternative:ade_alt_c36
ADE,42,2028,12,8,0.7990,0.7581,0.6587,+0.0005,original:mentions_medication_or_drug; original:mentions_dose_or_frequency; original:mentions_drug_discontinuation; original:mentions_symptom_or_condition; original:mentions_severity; original:links_event_to_medication; original:mentions_temporal_after_use; original:mentions_rechallenge_or_recovery; original:contains_uncertainty_or_possible; original:states_alternative_cause; original:reports_no_drug_link; original:discusses_general_pharmacology; alternative:ade_alt_c03; alternative:ade_alt_c04; alternative:ade_alt_c10; alternative:ade_alt_c17; alternative:ade_alt_c20; alternative:ade_alt_c29; alternative:ade_alt_c39; alternative:ade_alt_c35
ADE,43,2028,9,11,0.8070,0.7640,0.6632,+0.0063,original:mentions_medication_or_drug; original:mentions_severity; original:links_event_to_medication; original:mentions_temporal_after_use; original:mentions_rechallenge_or_recovery; original:mentions_onset_or_duration; original:contains_negation_no_event; original:states_alternative_cause; original:reports_no_drug_link; alternative:ade_alt_c01; alternative:ade_alt_c04; alternative:ade_alt_c18; alternative:ade_alt_c19; alternative:ade_alt_c20; alternative:ade_alt_c29; alternative:ade_alt_c26; alternative:ade_alt_c28; alternative:ade_alt_c39; alternative:ade_alt_c35; alternative:ade_alt_c36
ADE,44,2028,8,12,0.7110,0.6792,0.5781,-0.0785,original:mentions_medication_or_drug; original:mentions_drug_interaction; original:mentions_rechallenge_or_recovery; original:contains_uncertainty_or_possible; original:reports_no_drug_link; original:mentions_study_or_trial_context; original:mentions_expected_therapeutic_effect; original:discusses_general_pharmacology; alternative:ade_alt_c01; alternative:ade_alt_c02; alternative:ade_alt_c04; alternative:ade_alt_c12; alternative:ade_alt_c20; alternative:ade_alt_c29; alternative:ade_alt_c26; alternative:ade_alt_c28; alternative:ade_alt_c37; alternative:ade_alt_c39; alternative:ade_alt_c35; alternative:ade_alt_c36
ADE,45,2028,11,9,0.7940,0.7566,0.6612,-0.0011,original:mentions_medication_or_drug; original:mentions_dose_or_frequency; original:mentions_drug_interaction; original:mentions_symptom_or_condition; original:mentions_adverse_reaction; original:mentions_lab_or_diagnostic_abnormality; original:links_event_to_medication; original:mentions_rechallenge_or_recovery; original:contains_negation_no_event; original:reports_no_drug_link; original:describes_indication_or_background; alternative:ade_alt_c02; alternative:ade_alt_c04; alternative:ade_alt_c11; alternative:ade_alt_c17; alternative:ade_alt_c19; alternative:ade_alt_c29; alternative:ade_alt_c27; alternative:ade_alt_c39; alternative:ade_alt_c35
ADE,46,2028,13,7,0.8080,0.7664,0.6678,+0.0087,original:mentions_medication_or_drug; original:mentions_drug_discontinuation; original:mentions_drug_interaction; original:mentions_adverse_reaction; original:mentions_severity; original:mentions_temporal_after_use; original:mentions_rechallenge_or_recovery; original:contains_negation_no_event; original:contains_uncertainty_or_possible; original:reports_no_drug_link; original:mentions_study_or_trial_context; original:mentions_expected_therapeutic_effect; original:discusses_general_pharmacology; alternative:ade_alt_c02; alternative:ade_alt_c03; alternative:ade_alt_c04; alternative:ade_alt_c10; alternative:ade_alt_c11; alternative:ade_alt_c12; alternative:ade_alt_c26
ADE,47,2028,10,10,0.7890,0.7509,0.6535,-0.0067,original:mentions_drug_discontinuation; original:mentions_drug_interaction; original:mentions_adverse_reaction; original:mentions_lab_or_diagnostic_abnormality; original:mentions_temporal_after_use; original:mentions_rechallenge_or_recovery; original:contains_uncertainty_or_possible; original:reports_no_drug_link; original:mentions_expected_therapeutic_effect; original:discusses_general_pharmacology; alternative:ade_alt_c01; alternative:ade_alt_c02; alternative:ade_alt_c04; alternative:ade_alt_c11; alternative:ade_alt_c12; alternative:ade_alt_c17; alternative:ade_alt_c28; alternative:ade_alt_c37; alternative:ade_alt_c35; alternative:ade_alt_c36
ADE,48,2028,10,10,0.8010,0.7546,0.6478,-0.0031,original:mentions_drug_discontinuation; original:mentions_drug_interaction; original:mentions_symptom_or_condition; original:mentions_severity; original:mentions_lab_or_diagnostic_abnormality; original:mentions_rechallenge_or_recovery; original:states_alternative_cause; original:reports_no_drug_link; original:mentions_study_or_trial_context; original:describes_indication_or_background; alternative:ade_alt_c02; alternative:ade_alt_c03; alternative:ade_alt_c04; alternative:ade_alt_c10; alternative:ade_alt_c11; alternative:ade_alt_c17; alternative:ade_alt_c18; alternative:ade_alt_c19; alternative:ade_alt_c27; alternative:ade_alt_c28
ADE,49,2028,8,12,0.8100,0.7674,0.6678,+0.0097,original:mentions_medication_or_drug; original:mentions_dose_or_frequency; original:mentions_drug_interaction; original:mentions_symptom_or_condition; original:mentions_rechallenge_or_recovery; original:mentions_onset_or_duration; original:mentions_expected_therapeutic_effect; original:describes_indication_or_background; alternative:ade_alt_c01; alternative:ade_alt_c09; alternative:ade_alt_c10; alternative:ade_alt_c12; alternative:ade_alt_c17; alternative:ade_alt_c19; alternative:ade_alt_c29; alternative:ade_alt_c27; alternative:ade_alt_c28; alternative:ade_alt_c39; alternative:ade_alt_c35; alternative:ade_alt_c36
ADE,50,2028,10,10,0.8050,0.7595,0.6549,+0.0018,original:mentions_medication_or_drug; original:mentions_drug_discontinuation; original:mentions_drug_interaction; original:mentions_temporal_after_use; original:mentions_onset_or_duration; original:contains_negation_no_event; original:reports_no_drug_link; original:mentions_study_or_trial_context; original:describes_indication_or_background; original:discusses_general_pharmacology; alternative:ade_alt_c01; alternative:ade_alt_c04; alternative:ade_alt_c10; alternative:ade_alt_c11; alternative:ade_alt_c12; alternative:ade_alt_c17; alternative:ade_alt_c18; alternative:ade_alt_c20; alternative:ade_alt_c29; alternative:ade_alt_c37
ADE,51,2028,13,7,0.8020,0.7601,0.6598,+0.0024,original:mentions_medication_or_drug; original:mentions_drug_interaction; original:mentions_adverse_reaction; original:mentions_severity; original:mentions_lab_or_diagnostic_abnormality; original:mentions_temporal_after_use; original:mentions_rechallenge_or_recovery; original:contains_negation_no_event; original:contains_uncertainty_or_possible; original:reports_no_drug_link; original:mentions_study_or_trial_context; original:describes_indication_or_background; original:discusses_general_pharmacology; alternative:ade_alt_c02; alternative:ade_alt_c09; alternative:ade_alt_c10; alternative:ade_alt_c12; alternative:ade_alt_c28; alternative:ade_alt_c37; alternative:ade_alt_c39
ADE,52,2028,8,12,0.8010,0.7606,0.6621,+0.0029,original:mentions_dose_or_frequency; original:mentions_adverse_reaction; original:mentions_severity; original:links_event_to_medication; original:mentions_temporal_after_use; original:mentions_onset_or_duration; original:reports_no_drug_link; original:mentions_expected_therapeutic_effect; alternative:ade_alt_c01; alternative:ade_alt_c02; alternative:ade_alt_c03; alternative:ade_alt_c04; alternative:ade_alt_c11; alternative:ade_alt_c12; alternative:ade_alt_c18; alternative:ade_alt_c20; alternative:ade_alt_c29; alternative:ade_alt_c27; alternative:ade_alt_c28; alternative:ade_alt_c37
ADE,53,2028,11,9,0.6620,0.6281,0.5158,-0.1296,original:mentions_drug_interaction; original:mentions_symptom_or_condition; original:mentions_severity; original:mentions_lab_or_diagnostic_abnormality; original:mentions_temporal_after_use; original:contains_negation_no_event; original:contains_uncertainty_or_possible; original:states_alternative_cause; original:mentions_expected_therapeutic_effect; original:describes_indication_or_background; original:discusses_general_pharmacology; alternative:ade_alt_c04; alternative:ade_alt_c09; alternative:ade_alt_c12; alternative:ade_alt_c19; alternative:ade_alt_c20; alternative:ade_alt_c29; alternative:ade_alt_c28; alternative:ade_alt_c37; alternative:ade_alt_c39
ADE,54,2028,11,9,0.8170,0.7753,0.6784,+0.0176,original:mentions_medication_or_drug; original:mentions_dose_or_frequency; original:mentions_drug_interaction; original:mentions_symptom_or_condition; original:mentions_severity; original:mentions_lab_or_diagnostic_abnormality; original:links_event_to_medication; original:states_alternative_cause; original:mentions_study_or_trial_context; original:mentions_expected_therapeutic_effect; original:describes_indication_or_background; alternative:ade_alt_c09; alternative:ade_alt_c10; alternative:ade_alt_c11; alternative:ade_alt_c12; alternative:ade_alt_c17; alternative:ade_alt_c18; alternative:ade_alt_c29; alternative:ade_alt_c39; alternative:ade_alt_c36
ADE,55,2028,7,13,0.8070,0.7635,0.6620,+0.0058,original:mentions_medication_or_drug; original:mentions_drug_interaction; original:mentions_severity; original:links_event_to_medication; original:contains_uncertainty_or_possible; original:states_alternative_cause; original:mentions_expected_therapeutic_effect; alternative:ade_alt_c02; alternative:ade_alt_c03; alternative:ade_alt_c04; alternative:ade_alt_c10; alternative:ade_alt_c11; alternative:ade_alt_c12; alternative:ade_alt_c18; alternative:ade_alt_c29; alternative:ade_alt_c26; alternative:ade_alt_c27; alternative:ade_alt_c28; alternative:ade_alt_c39; alternative:ade_alt_c35
ADE,56,2028,8,12,0.8140,0.7688,0.6667,+0.0112,original:mentions_dose_or_frequency; original:mentions_drug_discontinuation; original:mentions_symptom_or_condition; original:mentions_adverse_reaction; original:mentions_lab_or_diagnostic_abnormality; original:contains_negation_no_event; original:reports_no_drug_link; original:mentions_expected_therapeutic_effect; alternative:ade_alt_c03; alternative:ade_alt_c09; alternative:ade_alt_c11; alternative:ade_alt_c12; alternative:ade_alt_c17; alternative:ade_alt_c18; alternative:ade_alt_c29; alternative:ade_alt_c26; alternative:ade_alt_c27; alternative:ade_alt_c28; alternative:ade_alt_c37; alternative:ade_alt_c35
ADE,57,2028,9,11,0.7940,0.7561,0.6601,-0.0015,original:mentions_dose_or_frequency; original:mentions_symptom_or_condition; original:mentions_adverse_reaction; original:mentions_severity; original:mentions_lab_or_diagnostic_abnormality; original:mentions_rechallenge_or_recovery; original:reports_no_drug_link; original:mentions_study_or_trial_context; original:describes_indication_or_background; alternative:ade_alt_c01; alternative:ade_alt_c02; alternative:ade_alt_c03; alternative:ade_alt_c11; alternative:ade_alt_c19; alternative:ade_alt_c20; alternative:ade_alt_c29; alternative:ade_alt_c28; alternative:ade_alt_c39; alternative:ade_alt_c35; alternative:ade_alt_c36
ADE,58,2028,10,10,0.8060,0.7640,0.6644,+0.0063,original:mentions_medication_or_drug; original:mentions_dose_or_frequency; original:mentions_drug_discontinuation; original:mentions_drug_interaction; original:mentions_severity; original:links_event_to_medication; original:mentions_rechallenge_or_recovery; original:contains_uncertainty_or_possible; original:reports_no_drug_link; original:discusses_general_pharmacology; alternative:ade_alt_c01; alternative:ade_alt_c02; alternative:ade_alt_c03; alternative:ade_alt_c18; alternative:ade_alt_c19; alternative:ade_alt_c20; alternative:ade_alt_c29; alternative:ade_alt_c26; alternative:ade_alt_c27; alternative:ade_alt_c37
ADE,59,2028,12,8,0.7950,0.7571,0.6612,-0.0006,original:mentions_medication_or_drug; original:mentions_dose_or_frequency; original:mentions_drug_interaction; original:mentions_symptom_or_condition; original:mentions_severity; original:links_event_to_medication; original:mentions_temporal_after_use; original:mentions_onset_or_duration; original:states_alternative_cause; original:mentions_study_or_trial_context; original:describes_indication_or_background; original:discusses_general_pharmacology; alternative:ade_alt_c04; alternative:ade_alt_c09; alternative:ade_alt_c19; alternative:ade_alt_c20; alternative:ade_alt_c29; alternative:ade_alt_c27; alternative:ade_alt_c35; alternative:ade_alt_c36
ADE,60,2028,9,11,0.7160,0.6822,0.5786,-0.0754,original:mentions_dose_or_frequency; original:mentions_symptom_or_condition; original:mentions_adverse_reaction; original:mentions_onset_or_duration; original:contains_uncertainty_or_possible; original:states_alternative_cause; original:mentions_study_or_trial_context; original:describes_indication_or_background; original:discusses_general_pharmacology; alternative:ade_alt_c04; alternative:ade_alt_c09; alternative:ade_alt_c10; alternative:ade_alt_c12; alternative:ade_alt_c20; alternative:ade_alt_c29; alternative:ade_alt_c26; alternative:ade_alt_c27; alternative:ade_alt_c28; alternative:ade_alt_c39; alternative:ade_alt_c35
ADE,61,2028,7,13,0.8120,0.7717,0.6759,+0.0141,original:mentions_medication_or_drug; original:mentions_adverse_reaction; original:mentions_rechallenge_or_recovery; original:contains_uncertainty_or_possible; original:states_alternative_cause; original:reports_no_drug_link; original:mentions_expected_therapeutic_effect; alternative:ade_alt_c01; alternative:ade_alt_c02; alternative:ade_alt_c04; alternative:ade_alt_c09; alternative:ade_alt_c10; alternative:ade_alt_c11; alternative:ade_alt_c12; alternative:ade_alt_c17; alternative:ade_alt_c29; alternative:ade_alt_c26; alternative:ade_alt_c28; alternative:ade_alt_c37; alternative:ade_alt_c36
ADE,62,2028,10,10,0.7960,0.7476,0.6370,-0.0101,original:mentions_adverse_reaction; original:mentions_severity; original:mentions_lab_or_diagnostic_abnormality; original:mentions_temporal_after_use; original:mentions_onset_or_duration; original:contains_negation_no_event; original:reports_no_drug_link; original:mentions_study_or_trial_context; original:describes_indication_or_background; original:discusses_general_pharmacology; alternative:ade_alt_c03; alternative:ade_alt_c04; alternative:ade_alt_c11; alternative:ade_alt_c12; alternative:ade_alt_c17; alternative:ade_alt_c19; alternative:ade_alt_c29; alternative:ade_alt_c27; alternative:ade_alt_c35; alternative:ade_alt_c36
ADE,63,2028,8,12,0.8070,0.7654,0.6667,+0.0078,original:mentions_medication_or_drug; original:links_event_to_medication; original:mentions_rechallenge_or_recovery; original:contains_negation_no_event; original:states_alternative_cause; original:reports_no_drug_link; original:describes_indication_or_background; original:discusses_general_pharmacology; alternative:ade_alt_c03; alternative:ade_alt_c10; alternative:ade_alt_c11; alternative:ade_alt_c12; alternative:ade_alt_c18; alternative:ade_alt_c19; alternative:ade_alt_c20; alternative:ade_alt_c26; alternative:ade_alt_c27; alternative:ade_alt_c28; alternative:ade_alt_c37; alternative:ade_alt_c36
ADE,64,2028,9,11,0.7980,0.7604,0.6656,+0.0028,original:mentions_medication_or_drug; original:mentions_dose_or_frequency; original:mentions_drug_discontinuation; original:mentions_symptom_or_condition; original:mentions_adverse_reaction; original:mentions_severity; original:links_event_to_medication; original:reports_no_drug_link; original:discusses_general_pharmacology; alternative:ade_alt_c03; alternative:ade_alt_c04; alternative:ade_alt_c09; alternative:ade_alt_c11; alternative:ade_alt_c12; alternative:ade_alt_c17; alternative:ade_alt_c29; alternative:ade_alt_c27; alternative:ade_alt_c28; alternative:ade_alt_c35; alternative:ade_alt_c36
ADE,65,2028,8,12,0.7900,0.7509,0.6523,-0.0067,original:mentions_dose_or_frequency; original:mentions_drug_interaction; original:mentions_severity; original:links_event_to_medication; original:mentions_onset_or_duration; original:contains_negation_no_event; original:contains_uncertainty_or_possible; original:states_alternative_cause; alternative:ade_alt_c01; alternative:ade_alt_c02; alternative:ade_alt_c03; alternative:ade_alt_c04; alternative:ade_alt_c09; alternative:ade_alt_c11; alternative:ade_alt_c18; alternative:ade_alt_c28; alternative:ade_alt_c37; alternative:ade_alt_c39; alternative:ade_alt_c35; alternative:ade_alt_c36
ADE,66,2028,8,12,0.7960,0.7528,0.6495,-0.0048,original:mentions_drug_interaction; original:mentions_lab_or_diagnostic_abnormality; original:links_event_to_medication; original:mentions_temporal_after_use; original:mentions_onset_or_duration; original:contains_uncertainty_or_possible; original:describes_indication_or_background; original:discusses_general_pharmacology; alternative:ade_alt_c02; alternative:ade_alt_c03; alternative:ade_alt_c04; alternative:ade_alt_c09; alternative:ade_alt_c11; alternative:ade_alt_c18; alternative:ade_alt_c19; alternative:ade_alt_c29; alternative:ade_alt_c26; alternative:ade_alt_c28; alternative:ade_alt_c37; alternative:ade_alt_c39
ADE,67,2028,10,10,0.7950,0.7461,0.6346,-0.0116,original:mentions_drug_interaction; original:mentions_symptom_or_condition; original:mentions_adverse_reaction; original:mentions_severity; original:mentions_rechallenge_or_recovery; original:mentions_onset_or_duration; original:contains_negation_no_event; original:reports_no_drug_link; original:mentions_study_or_trial_context; original:discusses_general_pharmacology; alternative:ade_alt_c03; alternative:ade_alt_c04; alternative:ade_alt_c11; alternative:ade_alt_c17; alternative:ade_alt_c20; alternative:ade_alt_c29; alternative:ade_alt_c26; alternative:ade_alt_c37; alternative:ade_alt_c39; alternative:ade_alt_c35
ADE,68,2028,8,12,0.8120,0.7703,0.6725,+0.0127,original:mentions_medication_or_drug; original:mentions_drug_interaction; original:mentions_adverse_reaction; original:mentions_severity; original:mentions_temporal_after_use; original:mentions_onset_or_duration; original:reports_no_drug_link; original:mentions_study_or_trial_context; alternative:ade_alt_c01; alternative:ade_alt_c03; alternative:ade_alt_c04; alternative:ade_alt_c09; alternative:ade_alt_c10; alternative:ade_alt_c19; alternative:ade_alt_c20; alternative:ade_alt_c29; alternative:ade_alt_c26; alternative:ade_alt_c27; alternative:ade_alt_c37; alternative:ade_alt_c39
ADE,69,2028,8,12,0.8250,0.7818,0.6847,+0.0241,original:mentions_medication_or_drug; original:mentions_symptom_or_condition; original:mentions_adverse_reaction; original:mentions_rechallenge_or_recovery; original:contains_negation_no_event; original:reports_no_drug_link; original:mentions_expected_therapeutic_effect; original:discusses_general_pharmacology; alternative:ade_alt_c02; alternative:ade_alt_c04; alternative:ade_alt_c09; alternative:ade_alt_c11; alternative:ade_alt_c18; alternative:ade_alt_c19; alternative:ade_alt_c20; alternative:ade_alt_c29; alternative:ade_alt_c27; alternative:ade_alt_c37; alternative:ade_alt_c35; alternative:ade_alt_c36
ADE,70,2028,11,9,0.8160,0.7738,0.6761,+0.0161,original:mentions_dose_or_frequency; original:mentions_drug_interaction; original:mentions_lab_or_diagnostic_abnormality; original:links_event_to_medication; original:mentions_temporal_after_use; original:mentions_rechallenge_or_recovery; original:contains_negation_no_event; original:contains_uncertainty_or_possible; original:states_alternative_cause; original:mentions_expected_therapeutic_effect; original:describes_indication_or_background; alternative:ade_alt_c01; alternative:ade_alt_c02; alternative:ade_alt_c10; alternative:ade_alt_c17; alternative:ade_alt_c18; alternative:ade_alt_c29; alternative:ade_alt_c26; alternative:ade_alt_c27; alternative:ade_alt_c39
ADE,71,2028,13,7,0.7790,0.7391,0.6371,-0.0185,original:mentions_dose_or_frequency; original:mentions_drug_interaction; original:mentions_symptom_or_condition; original:links_event_to_medication; original:mentions_temporal_after_use; original:mentions_rechallenge_or_recovery; original:mentions_onset_or_duration; original:contains_uncertainty_or_possible; original:states_alternative_cause; original:reports_no_drug_link; original:mentions_study_or_trial_context; original:describes_indication_or_background; original:discusses_general_pharmacology; alternative:ade_alt_c02; alternative:ade_alt_c03; alternative:ade_alt_c09; alternative:ade_alt_c10; alternative:ade_alt_c26; alternative:ade_alt_c39; alternative:ade_alt_c35
ADE,72,2028,9,11,0.7970,0.7538,0.6506,-0.0039,original:mentions_drug_interaction; original:mentions_symptom_or_condition; original:mentions_rechallenge_or_recovery; original:mentions_onset_or_duration; original:contains_uncertainty_or_possible; original:states_alternative_cause; original:mentions_study_or_trial_context; original:mentions_expected_therapeutic_effect; original:discusses_general_pharmacology; alternative:ade_alt_c01; alternative:ade_alt_c02; alternative:ade_alt_c09; alternative:ade_alt_c10; alternative:ade_alt_c11; alternative:ade_alt_c19; alternative:ade_alt_c20; alternative:ade_alt_c26; alternative:ade_alt_c27; alternative:ade_alt_c28; alternative:ade_alt_c37
